"Player","Team","Positions","IP","K","W","SV","ERA","WHIP","ER","H","BB","HR","G","GS","L","CG","PTS"
"Tarik Skubal","DET","SP","193.0","235","14","0","2.72","0.97","58","147","40","18","31","31","7","1","704"
"Garrett Crochet","BOS","SP","188.8","231","14","0","3.01","1.06","63","152","49","20","31","31","8","1","689"
"Paul Skenes","PIT","SP","185.6","221","13","0","2.80","1.04","58","145","48","15","31","31","7","1","664"
"Logan Webb","SF","SP","196.4","187","13","0","3.28","1.17","72","184","46","15","32","31","9","1","599"
"Cristopher Sanchez","PHI","SP","191.1","187","13","0","3.20","1.14","68","171","47","16","31","31","8","1","596"
"Jesus Luzardo","PHI","SP","176.8","197","12","0","3.67","1.18","72","153","55","22","31","30","9","0","595"
"Bryan Woo","SEA","SP","186.5","189","13","0","3.41","1.05","71","156","40","24","31","31","9","0","594"
"Hunter Brown","HOU","SP","179.4","194","12","0","3.44","1.17","69","151","59","19","31","30","8","1","593"
"Dylan Cease","TOR","SP","169.8","200","11","0","3.69","1.21","70","141","65","20","31","30","9","0","590"
"Chris Sale","ATL","SP","159.0","195","11","0","3.23","1.10","57","131","43","17","27","27","6","0","576"
"Framber Valdez","DET","SP","190.7","178","13","0","3.49","1.22","74","170","63","16","30","30","9","2","575"
"Cole Ragans","KC","SP","155.7","194","11","0","3.37","1.15","58","124","55","17","27","28","7","0","570"
"Max Fried","NYY","SP","182.6","172","14","0","3.32","1.16","67","159","54","17","30","30","8","1","563"
"Joe Ryan","MIN","SP","168.4","185","11","0","3.80","1.10","71","145","40","25","29","29","9","0","558"
"Logan Gilbert","SEA","SP","165.1","184","11","0","3.38","1.06","62","135","39","21","29","29","7","1","557"
"Spencer Strider","ATL","SP","157.9","187","11","0","3.96","1.21","69","136","56","21","28","28","9","0","552"
"Sonny Gray","BOS","SP","171.1","180","11","0","3.74","1.19","71","159","45","21","30","30","9","0","551"
"Nick Pivetta","SD","SP","169.7","184","10","0","3.90","1.15","74","144","51","26","29","29","9","0","551"
"Freddy Peralta","NYM","SP","164.3","183","11","0","3.78","1.19","69","135","61","21","30","30","8","0","551"
"Kevin Gausman","TOR","SP","178.8","175","12","0","3.93","1.21","78","163","52","24","30","30","9","1","550"
"Jacob deGrom","TEX","SP","162.5","180","11","0","3.48","1.06","63","133","39","22","28","28","8","0","546"
"Yoshinobu Yamamoto","LAD","SP","159.3","174","12","0","3.28","1.11","58","129","48","16","27","27","6","0","538"
"MacKenzie Gore","TEX","SP","159.8","181","10","0","3.87","1.25","69","139","60","20","29","29","9","0","537"
"Robbie Ray","SF","SP","171.0","177","10","0","4.18","1.28","79","152","66","25","30","30","10","1","536"
