Overall Pick,Round,Team,Player,MLB Team,Position(s)
1,1,bobby's Bases Loaded,Shohei Ohtani (Batter),LAD,Util
2,1,Fly The W,Aaron Judge,NYY,OF
3,1,Brandon's Badass Bitches,Juan Soto,NYM,OF
4,1,Foltzy's Roid Ragers,José Ramírez,CLE,3B
5,1,Joe's Sluggers,Paul Skenes,PIT,SP
6,1,ITS YEEEEEE BOYYYY,Bobby Witt Jr.,KC,SS
7,1,Dancing Homers,Elly De La Cruz,CIN,SS
8,1,Vladdy's Wagons,Tarik Skubal,DET,SP
9,1,steel,Ronald Acuña Jr.,ATL,OF
10,1,SoCal Swing Kings,Julio Rodríguez,SEA,OF
11,1,Lu's Lazers,Garrett Crochet,BOS,SP
12,1,Harrison the Master Bader!,Kyle Schwarber,PHI,OF
13,2,Harrison the Master Bader!,Kyle Tucker,LAD,OF
14,2,Lu's Lazers,Cal Raleigh,SEA,C
15,2,SoCal Swing Kings,Nick Kurtz,ATH,1B
16,2,steel,Fernando Tatis Jr.,SD,OF
17,2,Vladdy's Wagons,Junior Caminero,TB,3B
18,2,Dancing Homers,Vladimir Guerrero Jr.,TOR,1B
19,2,ITS YEEEEEE BOYYYY,Corbin Carroll,AZ,OF
20,2,Joe's Sluggers,Cristopher Sánchez,PHI,SP
21,2,Foltzy's Roid Ragers,Gunnar Henderson,BAL,SS
22,2,Brandon's Badass Bitches,Pete Alonso,BAL,1B
23,2,Fly The W,Ketel Marte,AZ,2B
24,2,bobby's Bases Loaded,Francisco Lindor,NYM,SS
25,3,bobby's Bases Loaded,Yoshinobu Yamamoto,LAD,SP
26,3,Fly The W,Trea Turner,PHI,SS
27,3,Brandon's Badass Bitches,Jazz Chisholm Jr.,NYY,"2B,3B"
28,3,Foltzy's Roid Ragers,Hunter Brown,HOU,SP
29,3,Joe's Sluggers,Manny Machado,SD,3B
30,3,ITS YEEEEEE BOYYYY,Logan Webb,SF,SP
31,3,Dancing Homers,Bryan Woo,SEA,SP
32,3,Vladdy's Wagons,Jackson Chourio,MIL,OF
33,3,steel,Matt Olson,ATL,1B
34,3,SoCal Swing Kings,Max Fried,NYY,SP
35,3,Lu's Lazers,Chris Sale,ATL,SP
36,3,Harrison the Master Bader!,Pete Crow-Armstrong,CHC,OF
37,4,Harrison the Master Bader!,Rafael Devers,SF,1B
38,4,Lu's Lazers,Brent Rooker,ATH,OF
39,4,SoCal Swing Kings,Zach Neto,LAA,SS
40,4,steel,Logan Gilbert,SEA,SP
41,4,Vladdy's Wagons,Bryce Harper,PHI,1B
42,4,Dancing Homers,Yordan Alvarez,HOU,OF
43,4,ITS YEEEEEE BOYYYY,Jarren Duran,BOS,OF
44,4,Joe's Sluggers,James Wood,WSH,OF
45,4,Foltzy's Roid Ragers,Wyatt Langford,TEX,OF
46,4,Brandon's Badass Bitches,Brice Turang,MIL,2B
47,4,Fly The W,Mookie Betts,LAD,SS
48,4,bobby's Bases Loaded,Mason Miller,SD,RP
49,5,bobby's Bases Loaded,Roman Anthony,BOS,OF
50,5,Fly The W,Freddy Peralta,NYM,SP
51,5,Brandon's Badass Bitches,Freddie Freeman,LAD,1B
52,5,Foltzy's Roid Ragers,Cole Ragans,KC,SP
53,5,Joe's Sluggers,Edwin Díaz,LAD,RP
54,5,ITS YEEEEEE BOYYYY,Riley Greene,DET,OF
55,5,Dancing Homers,Randy Arozarena,SEA,OF
56,5,Vladdy's Wagons,Jackson Merrill,SD,OF
57,5,steel,Jacob deGrom,TEX,SP
58,5,SoCal Swing Kings,Cody Bellinger,NYY,OF
59,5,Lu's Lazers,Maikel Garcia,KC,"2B,3B,SS,OF"
60,5,Harrison the Master Bader!,Ben Rice,NYY,"C,1B"
61,6,Harrison the Master Bader!,Austin Riley,ATL,3B
62,6,Lu's Lazers,Jesús Luzardo,PHI,SP
63,6,SoCal Swing Kings,Joe Ryan,MIN,SP
64,6,steel,William Contreras,MIL,C
65,6,Vladdy's Wagons,George Kirby,SEA,SP
66,6,Dancing Homers,Framber Valdez,DET,SP
67,6,ITS YEEEEEE BOYYYY,Kevin Gausman,TOR,SP
68,6,Joe's Sluggers,Corey Seager,TEX,SS
69,6,Foltzy's Roid Ragers,Josh Naylor,SEA,1B
70,6,Brandon's Badass Bitches,Geraldo Perdomo,AZ,SS
71,6,Fly The W,Shea Langeliers,ATH,C
72,6,bobby's Bases Loaded,Bo Bichette,NYM,SS
73,7,bobby's Bases Loaded,Oneil Cruz,PIT,OF
74,7,Fly The W,Andrés Muñoz,SEA,RP
75,7,Brandon's Badass Bitches,Cade Smith,CLE,RP
76,7,Foltzy's Roid Ragers,Jhoan Duran,PHI,RP
77,7,Joe's Sluggers,Dylan Cease,TOR,SP
78,7,ITS YEEEEEE BOYYYY,Vinnie Pasquantino,KC,1B
79,7,Dancing Homers,Eugenio Suárez,CIN,3B
80,7,Vladdy's Wagons,CJ Abrams,WSH,SS
81,7,steel,Kyle Bradish,BAL,SP
