"Player","Team","Positions","IP","K","W","SV","ERA","WHIP","ER","H","BB","HR","G","GS","L","CG","PTS"
"Tarik Skubal","DET","SP","194.2","236","14","0","2.73","0.97","59","148","40","19","31","31","7","1","707"
"Garrett Crochet","BOS","SP","189.6","232","14","0","3.01","1.06","64","153","49","20","31","31","8","1","692"
"Paul Skenes","PIT","SP","186.5","221","13","0","2.80","1.04","58","146","48","16","31","31","7","1","665"
"Dylan Cease","TOR","SP","175.4","206","11","0","3.68","1.21","72","146","67","21","31","31","9","0","606"
"Cristopher Sanchez","PHI","SP","192.6","189","13","0","3.19","1.14","68","172","48","16","31","31","8","1","602"
"Logan Webb","SF","SP","197.3","188","13","0","3.28","1.17","72","185","46","15","32","32","9","1","602"
"Bryan Woo","SEA","SP","187.5","190","13","0","3.42","1.05","71","157","40","24","31","31","9","0","597"
"Jesus Luzardo","PHI","SP","177.3","198","12","0","3.67","1.18","72","153","55","22","31","31","9","0","597"
"Hunter Brown","HOU","SP","180.6","195","12","0","3.44","1.17","69","152","60","19","31","31","8","1","596"
"Hunter Greene","CIN","SP","169.9","203","11","0","3.69","1.11","70","134","55","24","30","30","8","1","596"
"Framber Valdez","DET","SP","191.4","178","13","0","3.49","1.22","74","170","63","16","30","30","9","2","575"
"Chris Sale","ATL","SP","159.5","194","11","0","3.24","1.10","57","132","43","17","27","27","6","0","574"
"Cole Ragans","KC","SP","155.8","193","11","0","3.36","1.14","58","123","55","17","28","28","7","0","568"
"Max Fried","NYY","SP","183.2","172","14","0","3.31","1.16","67","159","54","17","30","30","8","1","564"
"Logan Gilbert","SEA","SP","165.7","184","11","0","3.39","1.06","62","136","39","21","29","29","7","1","558"
"Joe Ryan","MIN","SP","168.6","184","11","0","3.79","1.10","71","145","40","25","29","29","9","0","556"
"Sonny Gray","BOS","SP","172.0","180","11","0","3.72","1.19","71","159","46","21","30","30","9","0","552"
"Freddy Peralta","NYM","SP","165.2","183","11","0","3.78","1.19","69","136","61","22","30","30","8","0","552"
"Kevin Gausman","TOR","SP","179.9","176","12","0","3.93","1.21","79","164","53","24","31","31","9","1","552"
"Spencer Strider","ATL","SP","157.6","187","11","0","3.96","1.21","69","135","55","21","28","28","8","0","552"
"Nick Pivetta","SD","SP","170.3","184","10","0","3.90","1.15","74","145","52","26","29","29","9","0","551"
"Jacob deGrom","TEX","SP","162.1","179","11","0","3.48","1.06","63","133","39","22","28","28","8","0","544"
"MacKenzie Gore","TEX","SP","160.7","182","10","0","3.86","1.25","69","140","60","20","29","29","9","0","540"
"Yoshinobu Yamamoto","LAD","SP","159.3","173","12","0","3.29","1.11","58","129","48","16","27","27","6","0","536"
"Robbie Ray","SF","SP","171.6","177","10","0","4.18","1.28","80","153","66","25","30","30","10","1","536"
"Zac Gallen","ARI","SP","180.0","168","12","0","4.10","1.27","82","169","58","23","31","31","10","0","535"
"Luis Castillo","SEA","SP","179.0","168","11","0","3.88","1.19","77","162","51","24","31","31","9","0","532"
"George Kirby","SEA","SP","170.7","167","12","0","3.58","1.11","68","156","33","20","30","30","8","0","531"
"Tanner Bibee","CLE","SP","178.3","167","11","0","3.93","1.22","78","164","53","24","30","30","10","1","528"
"Ryan Pepiot","TB","SP","167.9","172","10","0","4.06","1.22","76","145","59","25","31","31","10","0","524"
"Aaron Nola","PHI","SP","170.0","168","11","0","4.14","1.22","78","161","46","25","29","29","9","0","522"
"Jack Flaherty","DET","SP","158.8","174","10","0","4.01","1.24","71","142","55","21","29","29","9","0","521"
"Gavin Williams","CLE","SP","166.3","169","10","0","3.97","1.30","73","145","71","21","30","30","9","0","518"
"Yusei Kikuchi","LAA","SP","167.8","169","9","0","4.26","1.32","79","161","60","25","31","31","10","0","511"
"Michael King","SD","SP","157.3","164","10","0","3.81","1.23","67","139","55","20","29","29","8","1","502"
"Nathan Eovaldi","TEX","SP","163.5","157","11","0","3.61","1.14","66","144","42","19","28","28","8","1","500"
"Jose Soriano","LAA","SP","170.8","155","10","0","3.81","1.33","72","155","72","14","31","31","9","0","495"
"Mitch Keller","PIT","SP","176.1","154","10","0","4.27","1.29","84","174","53","22","31","31","11","0","492"
"Blake Snell","LAD","SP","133.9","166","10","0","3.46","1.21","52","104","58","14","24","24","6","0","490"
"Ranger Suarez","BOS","SP","167.2","150","11","0","3.67","1.24","68","160","48","17","28","28","8","0","488"
"Sandy Alcantara","MIA","SP","179.6","149","10","0","4.14","1.26","82","173","53","21","30","30","11","1","487"
"Brady Singer","CIN","SP","167.7","155","10","0","4.34","1.29","81","163","54","23","31","31","11","0","487"
"Chris Bassitt","BAL","SP","169.5","152","10","0","4.26","1.32","80","166","58","23","34","29","9","1","484"
"Andrew Abbott","CIN","SP","165.9","150","10","0","4.20","1.26","77","157","52","25","29","29","9","1","477"
"Zack Wheeler","PHI","SP","136.9","156","10","0","3.29","1.08","50","111","36","16","23","23","6","0","474"
"Brandon Woodruff","MIL","SP","146.3","154","10","0","3.76","1.13","61","126","40","21","27","27","8","0","474"
"Carlos Rodon","NYY","SP","146.3","153","10","0","3.98","1.21","65","124","53","20","26","26","8","0","470"
"Matthew Boyd","CHC","SP","162.3","146","10","0","3.92","1.21","71","149","47","21","29","29","9","0","469"
"Nick Lodolo","CIN","SP","151.2","153","9","0","4.04","1.19","68","139","41","21","28","28","8","1","468"
"Jacob Misiorowski","MIL","SP","136.6","157","9","0","3.94","1.27","60","110","64","17","30","25","8","0","466"
"David Peterson","NYM","SP","161.3","144","10","0","3.93","1.34","70","155","61","15","29","29","8","1","464"
"Emmet Sheehan","LAD","SP","134.9","156","9","0","3.81","1.16","57","111","46","19","34","24","6","0","463"
"Merrill Kelly","ARI","SP","160.9","144","10","0","4.05","1.25","72","153","49","21","28","28","8","0","463"
"Brandon Pfaadt","ARI","SP","164.8","144","10","0","4.37","1.26","80","169","39","24","29","29","10","0","463"
"Shane Smith","CWS","SP","157.6","149","8","0","4.21","1.28","74","142","59","21","29","29","10","0","459"
"Luis Severino","ATH","SP","175.0","139","10","0","4.56","1.33","89","177","57","24","30","30","11","0","459"
"Shane Baz","BAL","SP","150.8","148","9","0","4.19","1.27","70","138","54","21","28","28","9","0","457"
"Jeffrey Springs","ATH","SP","167.0","141","10","0","4.59","1.31","85","166","53","28","30","30","11","0","457"
"Tyler Glasnow","LAD","SP","131.0","153","9","0","3.65","1.17","53","105","48","16","24","24","6","0","456"
"Nolan McLean","NYM","SP","150.0","144","10","0","3.84","1.28","64","133","59","16","26","26","8","0","456"
"Jack Leiter","TEX","SP","152.8","147","9","0","4.30","1.30","73","136","62","21","29","29","9","0","455"
"Drew Rasmussen","TB","SP","154.7","140","10","0","3.65","1.17","63","139","41","18","30","30","8","0","453"
"Kyle Bradish","BAL","SP","138.2","148","9","0","3.57","1.18","55","119","44","15","26","26","7","0","452"
"Bailey Ober","MIN","SP","157.8","143","9","0","4.34","1.20","76","152","38","26","28","28","9","1","451"
"Tatsuya Imai","HOU","SP","147.0","149","8","0","4.31","1.33","70","132","63","19","26","26","8","3","450"
"Edward Cabrera","CHC","SP","137.7","148","9","0","3.90","1.24","60","117","54","16","26","26","7","0","449"
"Trey Yesavage","TOR","SP","133.6","152","8","0","3.82","1.24","57","109","58","16","31","25","6","0","449"
"Quinn Priester","MIL","SP,RP","163.9","136","10","0","4.13","1.30","75","158","54","20","29","29","9","0","448"
"Eury Perez","MIA","SP","137.1","150","8","0","3.92","1.17","60","115","46","19","27","27","8","0","447"
"Edwin Diaz","LAD","RP","65.4","91","5","37","3.03","1.07","22","47","23","7","65","0","2","0","446"
"Shota Imanaga","CHC","SP","154.4","141","9","0","4.10","1.15","70","143","35","27","27","27","8","0","446"
"Mason Miller","SD","RP","65.7","102","4","33","2.54","0.99","19","40","25","6","64","0","2","0","445"
